SCENE I. London. The palace.,0
So shaken as we are so wan with care,0
And breathe short-winded accents of new broils,0
No more the thirsty entrance of this soil,0
Nor more shall trenching war channel her fields,0
Of hostile paces: those opposed eyes,0
All of one nature of one substance bred,0
And furious close of civil butchery,0
March all one way and be no more opposed,0
The edge of war like an ill-sheathed knife,0
As far as to the sepulchre of Christ,0
We are impressed and engaged to fight,0
Whose arms were moulded in their mothers' womb,0
Over whose acres walk'd those blessed feet,0
For our advantage on the bitter cross.,0
And bootless 'tis to tell you we will go:,0
Of you my gentle cousin Westmoreland,0
In forwarding this dear expedience.,0
And many limits of the charge set down,0
A post from Wales loaden with heavy news;,0
Leading the men of Herefordshire to fight,0
Was by the rude hands of that Welshman taken,0
Upon whose dead corpse there was such misuse,0
By those Welshwomen done as may not be,0
It seems then that the tidings of this broil,0
This match'd with other did my gracious lord;,0
Came from the north and thus it did import:,0
Young Harry Percy and brave Archibald,0
At Holmedon met,0
As by discharge of their artillery,0
For he that brought them in the very heat,0
Uncertain of the issue any way.,0
Sir Walter Blunt new lighted from his horse.,0
Betwixt that Holmedon and this seat of ours;,0
The Earl of Douglas is discomfited:,0
Balk'd in their own blood did Sir Walter see,0
Mordake the Earl of Fife and eldest son,0
Of Murray Angus and Menteith:,0
A gallant prize? ha cousin is it not?,0
It is a conquest for a prince to boast of.,0
In envy that my Lord Northumberland,0
A son who is the theme of honour's tongue;,0
Who is sweet Fortune's minion and her pride:,0
See riot and dishonour stain the brow,0
That some night-tripping fairy had exchanged,0
And call'd mine Percy his Plantagenet!,0
But let him from my thoughts. What think you coz,0
Which he in this adventure hath surprised,0
I shall have none but Mordake Earl of Fife.,0
Malevolent to you in all aspects;,0
The crest of youth against your dignity.,0
And for this cause awhile we must neglect,0
Cousin on Wednesday next our council we,0
But come yourself with speed to us again;,0
Than out of anger can be uttered.,0
Exeunt,0
Enter the PRINCE OF WALES and FALSTAFF,0
Thou art so fat-witted with drinking of old sack,0
benches after noon that thou hast forgotten to,0
What a devil hast thou to do with the time of the,0
capons and clocks the tongues of bawds and dials the,0
a fair hot wench in flame-coloured taffeta I see no,0
the time of the day.,0
purses go by the moon and the seven stars and not,0
I prithee sweet wag when thou art king as God,0
thou wilt have none--,0
No by my troth not so much as will serve to,0
Well how then? come roundly roundly.,0
us that are squires of the night's body be called,0
foresters gentlemen of the shade minions of the,0
being governed as the sea is by our noble and,0
Thou sayest well and it holds well too; for the,0
flow like the sea being governed as the sea is,0
most resolutely snatched on Monday night and most,0
swearing 'Lay by' and spent with crying 'Bring in;',0
and by and by in as high a flow as the ridge of the gallows.,0
hostess of the tavern a most sweet wench?,0
is not a buff jerkin a most sweet robe of durance?,0
thy quiddities? what a plague have I to do with a,0
Why what a pox have I to do with my hostess of the tavern?,0
time and oft.,0
No; I'll give thee thy due thou hast paid all there.,0
and where it would not I have used my credit.,0
that thou art heir apparent--But I prithee sweet,0
thou art king? and resolution thus fobbed as it is,0
not thou when thou art king hang a thief.,0
Shall I? O rare! By the Lord I'll be a brave judge.,0
the hanging of the thieves and so become a rare hangman.,0
humour as well as waiting in the court I can tell,0
For obtaining of suits?,0
hath no lean wardrobe. 'Sblood I am as melancholy,0
Or an old lion or a lover's lute.,0
What sayest thou to a hare or the melancholy of,0
Thou hast the most unsavoury similes and art indeed,0
prince. But Hal I prithee trouble me no more,0
commodity of good names were to be bought. An old,0
street about you sir but I marked him not; and yet,0
yet he talked wisely and in the street too.,0
streets and no man regards it.,0
to corrupt a saint. Thou hast done much harm upon,0
thee Hal I knew nothing; and now am I if a man,0
wicked. I must give over this life and I will give,0
I'll be damned for never a king's son in,0
Where shall we take a purse tomorrow Jack?,0
do not call me villain and baffle me.,0
to purse-taking.,0
man to labour in his vocation.,0
Poins! Now shall we know if Gadshill have set a,0
hole in hell were hot enough for him? This is the,0
a true man.,0
Good morrow sweet Hal. What says Monsieur Remorse?,0
agrees the devil and thee about thy soul that thou,0
and a cold capon's leg?,0
his bargain; for he was never yet a breaker of,0
Then art thou damned for keeping thy word with the devil.,0
But my lads my lads to-morrow morning by four,0
to Canterbury with rich offerings and traders,0
for you all; you have horses for yourselves:,0
supper to-morrow night in Eastcheap: we may do it,0
your purses full of crowns; if you will not tarry,0
Hear ye Yedward; if I tarry at home and go not,0
You will chops?,0
Who I rob? I a thief? not I by my faith.,0
fellowship in thee nor thou camest not of the blood,0
Well then once in my days I'll be a madcap.,0
Well come what will I'll tarry at home.,0
I care not.,0
I will lay him down such reasons for this adventure,0
Well God give thee the spirit of persuasion and him,0
move and what he hears may be believed that the,0
thief; for the poor abuses of the time want,0
Farewell thou latter spring! farewell All-hallown summer!,0
Now my good sweet honey lord ride with us,0
manage alone. Falstaff Bardolph Peto and Gadshill,0
yourself and I will not be there; and when they,0
this head off from my shoulders.,0
Why we will set forth before or after them and,0
our pleasure to fail and then will they adventure,0
no sooner achieved but we'll set upon them.,0
horses by our habits and by every other,0
Tut! our horses they shall not see: I'll tie them,0
leave them: and sirrah I have cases of buckram,0
Yea but I doubt they will be too hard for us.,0
true-bred cowards as ever turned back; and for the,0
forswear arms. The virtue of this jest will be the,0
tell us when we meet at supper: how thirty at,0
extremities he endured; and in the reproof of this,0
Well I'll go with thee: provide us all things,0
there I'll sup. Farewell.,0
Exit Poins,0
The unyoked humour of your idleness:,0
Who doth permit the base contagious clouds,0
